step 0: train loss 3.1927, val loss 3.1932
iter 292: loss 0.2196, time 18.33ms, mfu 0.07%
iter 293: loss 0.2187, time 18.10ms, mfu 0.07%
iter 294: loss 0.2017, time 48.35ms, mfu 0.06%
iter 295: loss 0.2057, time 21.21ms, mfu 0.06%
iter 296: loss 0.2026, time 20.34ms, mfu 0.06%
iter 297: loss 0.1984, time 18.10ms, mfu 0.06%
iter 298: loss 0.2082, time 18.03ms, mfu 0.06%
iter 299: loss 0.1974, time 18.95ms, mfu 0.06%
step 300: train loss 0.1996, val loss 0.1957
saving checkpoint to out/basic
iter 300: loss 0.1995, time 219.59ms, mfu 0.06%
iter 301: loss 0.2146, time 18.15ms, mfu 0.06%
iter 302: loss 0.1883, time 18.30ms, mfu 0.06%
iter 303: loss 0.1990, time 18.11ms, mfu 0.06%
iter 304: loss 0.1906, time 20.35ms, mfu 0.06%
iter 305: loss 0.2167, time 18.13ms, mfu 0.06%
iter 306: loss 0.1706, time 18.82ms, mfu 0.06%
iter 307: loss 0.1958, time 18.46ms, mfu 0.06%
iter 308: loss 0.1999, time 18.60ms, mfu 0.06%
iter 309: loss 0.2184, time 18.03ms, mfu 0.06%
iter 310: loss 0.1946, time 18.24ms, mfu 0.06%
iter 311: loss 0.1939, time 18.61ms, mfu 0.07%
iter 312: loss 0.2057, time 18.68ms, mfu 0.07%
iter 313: loss 0.2176, time 17.96ms, mfu 0.07%
iter 314: loss 0.2037, time 18.40ms, mfu 0.07%
iter 315: loss 0.1911, time 18.39ms, mfu 0.07%
iter 316: loss 0.2054, time 18.19ms, mfu 0.07%
iter 317: loss 0.2054, time 18.52ms, mfu 0.07%
iter 318: loss 0.2002, time 20.15ms, mfu 0.07%
iter 319: loss 0.2076, time 24.79ms, mfu 0.06%
iter 320: loss 0.1995, time 22.53ms, mfu 0.06%
iter 321: loss 0.2044, time 21.34ms, mfu 0.06%
iter 322: loss 0.1980, time 18.63ms, mfu 0.06%
iter 323: loss 0.2030, time 19.08ms, mfu 0.06%
iter 324: loss 0.2071, time 18.88ms, mfu 0.06%
iter 325: loss 0.1967, time 18.92ms, mfu 0.06%
iter 326: loss 0.1877, time 19.48ms, mfu 0.06%
iter 327: loss 0.1809, time 18.88ms, mfu 0.07%
iter 328: loss 0.1974, time 18.18ms, mfu 0.07%
iter 329: loss 0.1877, time 18.63ms, mfu 0.07%
iter 330: loss 0.2070, time 18.77ms, mfu 0.07%
iter 331: loss 0.1862, time 19.41ms, mfu 0.07%
iter 332: loss 0.2078, time 18.28ms, mfu 0.07%
iter 333: loss 0.1986, time 18.17ms, mfu 0.07%
iter 334: loss 0.1911, time 19.52ms, mfu 0.07%
iter 335: loss 0.1953, time 19.04ms, mfu 0.07%
iter 336: loss 0.1892, time 18.28ms, mfu 0.07%
iter 337: loss 0.1850, time 20.92ms, mfu 0.07%
iter 338: loss 0.1966, time 22.74ms, mfu 0.06%
iter 339: loss 0.1996, time 18.35ms, mfu 0.07%
iter 340: loss 0.1969, time 18.62ms, mfu 0.07%
iter 341: loss 0.1934, time 18.46ms, mfu 0.07%
iter 342: loss 0.1915, time 18.44ms, mfu 0.07%
iter 343: loss 0.2024, time 18.53ms, mfu 0.07%
iter 344: loss 0.2030, time 18.80ms, mfu 0.07%
